k,lev,base,tm,train_CAGR,train_Sh,train_DD,train_Cal,test_CAGR,test_Sh,test_DD,test_Cal,test_alphaCAGR,test_alphaSh
1.5,1.2,0.4,True,0.08995599659807385,0.41993728854144896,-0.20547101324513506,0.4378038302208243,0.17101268222398924,0.8236997282989731,-0.20516016736250198,0.8335569444229551,-0.05993001563259481,0.029916046094168536
1.5,1.2,0.4,False,0.08498924889342141,0.40614794390004977,-0.19235264846183384,0.4418408042366247,0.16129226725395518,0.8427294320035967,-0.17985212194618413,0.8968049167761141,-0.06965043060262888,0.04894574979879218
1.5,1.2,0.5,True,0.08707326995786313,0.41705520396421614,-0.18961068855305446,0.45922131617332,0.16374268338529863,0.8226697563860333,-0.1951822828784211,0.8389218579193165,-0.06720001447128543,0.028886074181228794
1.5,1.2,0.5,False,0.08232377277372871,0.40298096641214326,-0.17748959783543644,0.4638230847199118,0.154496347197824,0.8425202647404686,-0.1709729891618227,0.9036301462308537,-0.07644635065876004,0.04873658253566404
1.5,1.2,0.6,True,0.0841502081064518,0.4139729867414361,-0.17371341027653187,0.48441975764849876,0.15631370626449925,0.8212908477741588,-0.18480840169670096,0.8458149349780867,-0.0746289915920848,0.027507165569354286
1.5,1.2,0.6,False,0.07964024386593604,0.399672863986398,-0.1625801953953993,0.4898520614534192,0.14758081824358205,0.8419911147124544,-0.1617543762432793,0.9123760461455451,-0.08336187961300201,0.048207432507649806
1.5,1.4,0.4,True,0.09632383335130479,0.4187717357457442,-0.24183930835536085,0.3982968443234451,0.19080759587780083,0.8217110527841792,-0.23669926396860586,0.8061182475966981,-0.04013510197878323,0.027927370579374666
1.5,1.4,0.4,False,0.09098999400636387,0.4066003845471936,-0.22722228214920434,0.4004448557849435,0.18028158023541274,0.8429485818829835,-0.20793520636974494,0.8670084464428826,-0.050661117621171314,0.04916489967817894
1.5,1.4,0.5,True,0.09325642918468868,0.4166479494349045,-0.22389077055198037,0.4165264559801829,0.18271292956142382,0.8216668826009618,-0.22537783748392468,0.8106960808622367,-0.048229768295160236,0.027883200396157215
1.5,1.4,0.5,False,0.08806149552268794,0.4037226571846859,-0.21034063119847418,0.41866136381227487,0.17254934494141594,0.8431808710845056,-0.19783979317178452,0.8721670305811083,-0.05839335291516812,0.049397188879701015
1.5,1.4,0.6,True,0.09009249533486186,0.4141602678564173,-0.20585992832247962,0.4376397877382525,0.1743505139542767,0.8210507282930342,-0.21358506020747428,0.8163048191896682,-0.05659218390230736,0.027267046088229607
1.5,1.4,0.6,False,0.08508579818014228,0.4006184288471749,-0.19337099185806497,0.44001324791567276,0.1646196514918079,0.8428771128937524,-0.18734213891548263,0.8787112843100092,-0.06632304636477615,0.04909343068894789
1.5,1.6,0.4,True,0.10185141602446834,0.4156236453728785,-0.27712753970571224,0.36752542216708806,0.20966576516195023,0.8183017044644723,-0.2672627350695009,0.7844930761014148,-0.02127693269463382,0.024518022259667704
1.5,1.6,0.4,False,0.09635288477861015,0.4052590685384563,-0.26112769376817707,0.3689876144050425,0.19845121782879604,0.8408599044117486,-0.23534785319880902,0.8432251033161339,-0.03249148002778801,0.047076222206944074
1.5,1.6,0.5,True,0.0987228960934079,0.4143170305296267,-0.25721078891354326,0.38382097621337263,0.20075872952328,0.8186274715393467,-0.2547242992069908,0.7881412576196432,-0.030183968333304056,0.02484378933454212
1.5,1.6,0.5,False,0.09329967802037631,0.4030765792052998,-0.242324660181336,0.38501932882339934,0.18994865249612425,0.8418357140483318,-0.22408144211062767,0.8476768567133183,-0.04099404536045981,0.04805203184352724
1.5,1.6,0.6,True,0.09544996151592966,0.41263928114849807,-0.2371432318209272,0.4024992017820113,0.19159484833375817,0.8187430284255254,-0.24164049655470493,0.7928921313501069,-0.039347849522825884,0.024959346220720824
1.5,1.6,0.6,False,0.09014575275118508,0.4005305118728433,-0.2234149579546669,0.4034902299132386,0.18117652342744028,0.8422354472121389,-0.2123468732946241,0.8532102244616713,-0.04976617442914377,0.04845176500733439
1.5,1.8,0.4,True,0.10670472925370578,0.4120250301609646,-0.3112501259707481,0.34282630061886016,0.2278145726830667,0.8149356323312695,-0.29686454494594294,0.7674024283517933,-0.0031281251735173488,0.02115195012646498
1.5,1.8,0.4,False,0.10098623248455452,0.402292037761933,-0.29417548866425214,0.34328567938511,0.21590682880785184,0.8378360656296572,-0.2620183514294501,0.8240141487417377,-0.01503586904873222,0.044052383424852626
1.5,1.8,0.5,True,0.10352226978907275,0.4110219198557922,-0.28955012896196947,0.3575279698896965,0.21816097899055142,0.8154738559345909,-0.28318536981210823,0.7703822380912542,-0.012781718866032632,0.021690173729786322
1.5,1.8,0.5,False,0.09792722086596695,0.4009220907658273,-0.2735574173179912,0.35797684385992523,0.20667649150113654,0.8392348727689601,-0.2496849791133167,0.8277489988988835,-0.024266206355447517,0.045451190564155586
1.5,1.8,0.6,True,0.10020447601306981,0.4099310844077475,-0.26763387538070055,0.37440879212518285,0.20818395068924178,0.8157787395623592,-0.26889602957249237,0.7742172728255808,-0.022758747167342275,0.021995057357554693
1.5,1.8,0.6,False,0.09471447088180152,0.3991484679016717,-0.2527537093466506,0.37473029031554606,0.19714750544675197,0.8402272802059567,-0.23681918666492804,0.8324811356002715,-0.03379519240983209,0.046443598001152164
2.0,1.2,0.4,True,0.08964977300936594,0.4080482368240114,-0.20488358879677201,0.43756444103627684,0.17465251639217194,0.8149786321363379,-0.21618699624837803,0.8078770667201141,-0.056290181464412115,0.02119494993153337
2.0,1.2,0.4,False,0.0845340140371158,0.39379885335508186,-0.1930419507763021,0.4379048890521947,0.1649016769667775,0.8388155102473935,-0.18964618053316556,0.8695227950448455,-0.06604102088980657,0.045031828042588984
2.0,1.2,0.5,True,0.08611011932753287,0.40348980028438053,-0.1847316695940143,0.4661362045651269,0.16584909639287426,0.8129731952841783,-0.20394087001014985,0.8132214812294377,-0.0650936014637098,0.019189513079373777
2.0,1.2,0.5,False,0.08124625708380351,0.3886920241497481,-0.1742089180486481,0.4663725485116403,0.1565981178963951,0.8372551671246717,-0.17875207931690115,0.8760631959909662,-0.07434457996018895,0.04347148491986719
2.0,1.2,0.6,True,0.08249290142207744,0.3985058632658575,-0.16453864490539485,0.5013588234515275,0.15669377887121572,0.8102613961925114,-0.19100381293691793,0.820369899751511,-0.07424891898536834,0.01647771398770681
2.0,1.2,0.6,False,0.07792776283506098,0.383317474887962,-0.15529013549661208,0.5018204317090128,0.1480104674875211,0.8349462963700077,-0.167241967349624,0.8850079309226321,-0.08293223036906294,0.04116261416520317
2.0,1.4,0.4,True,0.09565656225673469,0.405717393635134,-0.241199985914528,0.3965861021676498,0.19459235873172775,0.8117886241240201,-0.2491785400136374,0.7809354638689103,-0.0363503391248563,0.018004941919215534
2.0,1.4,0.4,False,0.09023504602765908,0.39333318892104024,-0.22795906697898066,0.39583881099135815,0.18411702564377475,0.8376313602503611,-0.21910054891764794,0.8403311929308664,-0.04682567221280931,0.04384767804555656
2.0,1.4,0.5,True,0.09191073715053943,0.4020566941929631,-0.2183471185802154,0.4209386308744609,0.18476075102983125,0.8106337920300349,-0.2353434514066975,0.7850685877405011,-0.04618194682675281,0.016850109825230386
2.0,1.4,0.5,False,0.086671447380962,0.38881463623762685,-0.20657202974667924,0.4195701009824409,0.17474315907151672,0.8368661471089,-0.20670254154544496,0.84538466612467,-0.05619953878506734,0.0430824649040954
2.0,1.4,0.6,True,0.08802475017752798,0.3978886711743531,-0.19542489457462942,0.45042751778951495,0.1744996023600125,0.8089090924163267,-0.22065861517505692,0.7908125509696292,-0.05644309549657156,0.015125410211522139
2.0,1.4,0.6,False,0.08302723900287501,0.38389075259052907,-0.18503106923384866,0.44872052756687214,0.16499630698126633,0.8353290449367599,-0.1936120663032318,0.8522005375576749,-0.06594639087531773,0.041545362731955304
2.0,1.6,0.4,True,0.10084049528487138,0.4020486142421498,-0.2763979919721435,0.36483801696733925,0.21370445017344997,0.8082472352731032,-0.28105973171950577,0.7603524306595597,-0.01723824768313409,0.014463553068298607
2.0,1.6,0.4,False,0.09519628393846924,0.3909198163301444,-0.2619887772674143,0.3633601596655475,0.20249790546143642,0.8347055346316873,-0.2477673976936428,0.817290359209484,-0.028444792395147633,0.04092185242688273
2.0,1.6,0.5,True,0.09699901479136375,0.3991372057267687,-0.25108288911829724,0.38632268065731407,0.2028597798786853,0.8073391412905772,-0.2657659657452523,0.7633023262020496,-0.028082917977898747,0.013555459085772603
2.0,1.6,0.5,False,0.09151175411227319,0.3872802258079688,-0.23812997010011727,0.3842933087078405,0.19216398359928877,0.8345924983946124,-0.23399843483580376,0.8212190980428132,-0.03877871425729529,0.040808816189807806
2.0,1.6,0.6,True,0.09297554731263369,0.39583552139357137,-0.22554702658042963,0.41222244745256614,0.1915210824481124,0.8059897937884621,-0.24949641610073067,0.7676305954262223,-0.039421615408471666,0.012206111583657586
2.0,1.6,0.6,False,0.08767630337478294,0.38310431859392535,-0.21407515708064734,0.4095585147311284,0.1813658317178759,0.8337252078350617,-0.2193851968220169,0.8267004079815585,-0.04957686613870815,0.0399415256302571
2.0,1.8,0.4,True,0.10538214669017743,0.3983941724546382,-0.31047636239194765,0.3394208366727198,0.23206507723155068,0.804899320786196,-0.31187775680221946,0.7440898626788481,0.00112237937496662,0.011115638581391418
2.0,1.8,0.4,False,0.09945575018387998,0.38746086760167686,-0.295091730182852,0.3370333357774979,0.22021585037766167,0.8314549986001525,-0.27559382565511853,0.7990594486439709,-0.010726847478922386,0.03767131639534793
2.0,1.8,0.5,True,0.10146983363173567,0.39576492240481237,-0.28285867301747475,0.358729794456283,0.2203199307874668,0.804208739034448,-0.2952230093601328,0.7462830599315036,-0.010622767069117245,0.010425056829643453
2.0,1.8,0.5,False,0.09574550137963622,0.38456846006203754,-0.2689563241541161,0.35598903160489576,0.2089754507258399,0.8317014181655743,-0.2605452673110389,0.8020696475609554,-0.02196724713074416,0.03791773596076975
2.0,1.8,0.6,True,0.09736017857743473,0.3929566175269357,-0.2549318228432795,0.3819067289896066,0.20797591937093785,0.803048908429129,-0.2774817570536722,0.7495120456899439,-0.02296677848564621,0.009265226224324463
2.0,1.8,0.6,False,0.09182857538336986,0.38116808192315194,-0.24251721705264356,0.3786476543784374,0.19718797903945307,0.8312520314034193,-0.24454286071407869,0.8063534484860987,-0.03375471881713099,0.03746834919861475
2.5,1.2,0.4,True,0.08945822529949021,0.3975816489272661,-0.2049543670437068,0.43647874690278315,0.17848241222369676,0.80847250458139,-0.22531105789563943,0.792160020421044,-0.052460285632887294,0.01468882237658542
2.5,1.2,0.4,False,0.08428805421681917,0.38335135775753476,-0.19430304578287114,0.4337968757886019,0.16871573563816655,0.8354994863255267,-0.19775102979617157,0.8531724755722757,-0.0622269622184175,0.04171580412072218
2.5,1.2,0.5,True,0.08536793682463073,0.39117997922258557,-0.18102509044049253,0.47158068871504477,0.1682975767744319,0.8044725132153143,-0.2112955750626573,0.7965030821138832,-0.06264512108215214,0.01068883101050977
2.5,1.2,0.5,False,0.08047727115253633,0.3762423149229277,-0.17198244997236503,0.4679388575140534,0.15909252416876218,0.8317387986564561,-0.1852712093133279,0.858700738006774,-0.07185017368782187,0.037955116451651505
2.5,1.2,0.6,True,0.08116495238248622,0.3841248124257442,-0.1570545402558781,0.5167946896043233,0.15756360769342326,0.7994335744181958,-0.19621838415566684,0.803001249711763,-0.0733790901631608,0.005649892213391294
2.5,1.2,0.6,False,0.07661520687391676,0.3686435570599163,-0.15241140090243785,0.5026868490170232,0.14898310232844603,0.8266696149775054,-0.17186395869866028,0.8668664649443303,-0.08195959552813803,0.0328859327727008
2.5,1.4,0.4,True,0.09515718110169824,0.39439889732602373,-0.24131706248805276,0.39432429733976776,0.19871490533785896,0.8046835845047077,-0.2594644488809593,0.7658656366792975,-0.032227792518725096,0.01089990229990312
2.5,1.4,0.4,False,0.08970011216415719,0.38191136375822915,-0.22939652944695693,0.39102645702797534,0.18821026256818318,0.8331513728395078,-0.2283294401907851,0.8242925765986219,-0.04273243528840087,0.039367690634703245
2.5,1.4,0.5,True,0.09084515086461975,0.3889808708073841,-0.2141757395714599,0.42416172366856325,0.18729442275728103,0.8013389434069103,-0.2436680353807372,0.7686458441897353,-0.043648275099303024,0.007555261202105701
2.5,1.4,0.5,False,0.08560940936299333,0.3756156155297415,-0.2040210033767388,0.419610765294148,0.17736067181731152,0.8302539467599063,-0.21415324698480115,0.8281951094110618,-0.053582026039272534,0.03647026455510172
2.5,1.4,0.6,True,0.08634196582496734,0.38282180923737114,-0.18691907943887964,0.46192162985266655,0.17525415402360922,0.7972736865707827,-0.2266154873937088,0.7733547077439269,-0.055688543832974835,0.0034900043659781277
2.5,1.4,0.6,False,0.08140125789055297,0.368679302081195,-0.17844047564777546,0.4561815787312253,0.1659057191825839,0.8260834631625618,-0.19888930923923578,0.8341610708850254,-0.06503697867400016,0.03229978095775721
2.5,1.6,0.4,True,0.1000727596967208,0.3905436896542896,-0.2765362291069291,0.361879382024933,0.21814697956366014,0.8010918527059476,-0.2924167055833362,0.7460140799017727,-0.012795718292923919,0.007308170501143074
2.5,1.6,0.4,False,0.09433482055856368,0.37878532199550335,-0.2635983444981323,0.3578733422555015,0.2069140740694897,0.8298094580650468,-0.2580047613193222,0.8019777348736615,-0.02402862378709436,0.03602577586024225
2.5,1.6,0.5,True,0.09561961123106877,0.3857128636089542,-0.2464604454812601,0.38797142902323983,0.20554773328294917,0.7979864243184035,-0.27498036693176353,0.7474996690725775,-0.02539496457363488,0.004202742113598945
2.5,1.6,0.5,False,0.09011027302521746,0.37337870814737,-0.2353321029175653,0.38290684487182897,0.1949160910544434,0.8274342982973266,-0.24228275012609013,0.8044984257154258,-0.03602660680214065,0.03365061609252207
2.5,1.6,0.6,True,0.09094938598724522,0.38040883082763716,-0.21610542867840735,0.4208565538748663,0.1922012736544252,0.7941322877953542,-0.25611101491226396,0.7504607863908846,-0.03874142420215887,0.00034860559054961104
2.5,1.6,0.6,False,0.0857038777070227,0.36732786081531943,-0.20673086222731477,0.41456740799922465,0.18222874118844534,0.8239964276341025,-0.22531243916594274,0.8087824261413005,-0.048713956668138714,0.03021274542929797
2.5,1.8,0.4,True,0.10420753781583159,0.38645814387306276,-0.3106431738573956,0.33545735617441663,0.23729383212124966,0.8000542591294459,-0.323576180481278,0.7333476517594885,0.006351134264665603,0.006270576924641391
2.5,1.8,0.4,False,0.09830366733683005,0.37514543120840593,-0.2968420715743339,0.33116487435714875,0.22497804504356833,0.8265299511439975,-0.28676880637120006,0.78452760567114,-0.005964652813015725,0.03274626893919297
2.5,1.8,0.5,True,0.09971265481840708,0.38193140960322536,-0.27784970271228876,0.3588726345396121,0.22315914337009946,0.7950334663947316,-0.30504548660426295,0.7315602202618554,-0.007783554486484601,0.00124978418992705
2.5,1.8,0.5,False,0.09402878759103372,0.3703826965953824,-0.2658794789684547,0.3536519176126029,0.2118919022387875,0.8244157009067119,-0.2696098772287154,0.7859203988251344,-0.019050795617796545,0.03063201870190735
2.5,1.8,0.6,True,0.0950144864182696,0.3774504761138595,-0.24459554805096761,0.388455502053827,0.20859410003061551,0.7912204321495213,-0.2847093848173075,0.7326562142110851,-0.02234859782596854,-0.0025632500552832393
2.5,1.8,0.6,False,0.08951674279200428,0.36505163728136397,-0.23446422213001253,0.3817927612954374,0.19800466322498966,0.821282640779119,-0.2510463179775711,0.7887176550531194,-0.03293803463159439,0.027498958574314503
3.0,1.2,0.4,True,0.08931381471253874,0.38860881851333623,-0.20539562793126634,0.43483795449836327,0.1819767164957533,0.8029940846693262,-0.23273367063866665,0.7819097081929471,-0.048965981360830746,0.00921040246452165
3.0,1.2,0.4,False,0.08412596007917217,0.3745309117463572,-0.19582054386457476,0.4296074273869439,0.17220509728424238,0.8321030742407101,-0.2043582234604577,0.8426629198876512,-0.058737600572341675,0.03831939203590551
3.0,1.2,0.5,True,0.08475684498048586,0.38028397381007006,-0.17814650064482096,0.4757704735916736,0.17056072367394282,0.7963540760120134,-0.2173132414982705,0.7848611639953851,-0.06038197418264124,0.002570393807208804
3.0,1.2,0.5,False,0.0798737068740587,0.36542285585197165,-0.17219958642734548,0.4638437787872333,0.16139279500360204,0.8253718780908198,-0.19060119843038822,0.8467564544854961,-0.06954990285298202,0.03158819588601525
3.0,1.2,0.6,True,0.08005723168188972,0.371089340058961,-0.1508942020494459,0.5305520728732579,0.15837554427578282,0.7881408735527825,-0.2004914324960974,0.7899367185122268,-0.07256715358080124,-0.005642808652022047
3.0,1.2,0.6,False,0.0755517498125231,0.35560412626891846,-0.14994070855520344,0.5038775029178105,0.14991930282582588,0.8169069596551203,-0.17564180294775142,0.8535513773473546,-0.08102339503075817,0.023123277450315727
3.0,1.4,0.4,True,0.09476396199066328,0.3849002833657241,-0.24185070323571728,0.39182834998127986,0.2025487086872999,0.7990397641108934,-0.26782177317353495,0.7562817103598914,-0.02839398916928415,0.005256081906088839
3.0,1.4,0.4,False,0.08927477933949635,0.3722384459511435,-0.23115888868558432,0.38620526273997335,0.19200801212825525,0.829063753148716,-0.23583652816335537,0.8141572199335393,-0.03893468572832881,0.0352800709439115
3.0,1.4,0.5,True,0.08996040337555544,0.37754852983102827,-0.2109595062722743,0.4264344611209333,0.18967071670525115,0.7927523233312191,-0.2504657759705443,0.7572719904357597,-0.041271981151332904,-0.0010313588735854085
3.0,1.4,0.5,False,0.08473988581250036,0.36409668745227014,-0.20228625274489312,0.41891074980447324,0.17979905058839907,0.8231380952071222,-0.2202411268822251,0.8163736407167377,-0.05114364726818499,0.02935441300231767
3.0,1.4,0.6,True,0.08493191649708076,0.36927753289521975,-0.17992615437934106,0.47203763560698075,0.17596993167593578,0.7854006854766934,-0.23147768975957547,0.7602025571393386,-0.05497276618064828,-0.008382996728111158
3.0,1.4,0.6,False,0.08005685124384865,0.35508952089120355,-0.17499992641100703,0.45746791376258134,0.1667726051607945,0.8154560991904457,-0.2032242037451624,0.8206335765493897,-0.06417009269578955,0.021672416985641152
3.0,1.6,0.4,True,0.09944000704167855,0.3809163358030393,-0.27716629504116364,0.35877380771320017,0.22228234370357236,0.7954420068346297,-0.3018317655133934,0.7364445002184796,-0.008660354153011696,0.0016583246298251808
3.0,1.6,0.4,False,0.09364889744879346,0.36870456886712,-0.26556604269068673,0.352638825732209,0.21103763319601554,0.8255107505009138,-0.26632310243510726,0.7924120411124954,-0.019905064660568517,0.03172706829610927
3.0,1.6,0.5,True,0.09446729909251173,0.37407915851283075,-0.24290988089044682,0.38889854437463905,0.2080555028760449,0.7893516720224673,-0.2824993970260642,0.7364812281593972,-0.02288719498053915,-0.004432010182337298
3.0,1.6,0.5,False,0.08895905416592731,0.3613927847925965,-0.2334399691418487,0.38107893216808886,0.19749606604454217,0.8199845471009649,-0.2490478103593156,0.7930046273428513,-0.03344663181204188,0.02620086489616036
3.0,1.6,0.6,True,0.0892429453750403,0.36661567344023943,-0.2083562586483207,0.42831900492929864,0.19287217405322066,0.7822435603625186,-0.2615110535257877,0.7375297198831463,-0.0380705238033634,-0.011540121842285922
3.0,1.6,0.6,False,0.08406243306613814,0.35329819711782423,-0.20085288659505635,0.4185273833560488,0.18304904775132425,0.8130052213403443,-0.23015041464355396,0.7953452877103087,-0.04789365010525981,0.0192215391355397
3.0,1.8,0.4,True,0.1032799340053061,0.37708608602514093,-0.3113351731598669,0.3317323030259517,0.241540592577006,0.7963989982630403,-0.3324789121761706,0.7264839474962577,0.010597894720421941,0.002615316058235728
3.0,1.8,0.4,False,0.09737293854907225,0.3649969382591414,-0.2989828804048501,0.32568064906331895,0.22943278343292728,0.8222706125734848,-0.2958409282084309,0.775527526979916,-0.0015099144236567774,0.02848693036868022
3.0,1.8,0.5,True,0.09827947324276787,0.370468290723746,-0.27402025401887403,0.35865769701825967,0.22646425017317062,0.7899261859660883,-0.311936824957315,0.7259939579245243,-0.0044784476834134335,-0.0038574962387162293
3.0,1.8,0.5,False,0.0926091220625016,0.35823137614035294,-0.2638160586363271,0.35103671300830147,0.21461891117893162,0.8168962700914287,-0.27700760635388927,0.7747762381107565,-0.01632378667765244,0.02311258788662418
3.0,1.8,0.6,True,0.09291570735912313,0.36312068349999727,-0.23614439868838025,0.39346987637736064,0.2093330529487598,0.7800759257626257,-0.28953820106372297,0.7229894092720731,-0.021609644907824244,-0.013707756442178809
3.0,1.8,0.6,False,0.08758668552379856,0.35080071878783176,-0.22803245844180084,0.38409744876803453,0.1987979088004399,0.8102335598549482,-0.2563554690118097,0.7754775412701718,-0.03214478905614415,0.016449877650143607
