breakout_window,exit_window,trend_window,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
20,5,30,0.5,-inf,recent_1y 跑输 ETF -5.24pp 超过容忍带 -5.0pp,10.85,-0.027200000000000002,0.2957,-0.04350599478714168,-0.022085714285714264,2.81,-0.049800000000000004,0.13970000000000002,-0.052417998244074004,-0.040875791274593794,0.56,-0.1264,0.07139999999999999,-0.21531407035175887,-0.005135947712418265
20,5,30,0.3,-inf,recent_6m 跑输 ETF -6.39pp 超过容忍带 -5.0pp,11.02,-0.0225,0.2483,-0.06390599478714165,-0.026785714285714267,2.93,-0.0375,0.1097,-0.08201799824407385,-0.0531757912745938,0.27,-0.13140000000000002,0.0358,-0.29011407035175885,-0.00013594771241826065
15,10,80,0.7,-inf,full_pre_cutoff 跑输 ETF -13.55pp 超过容忍带 -5.0pp,8.83,-0.0398,0.3513,-0.020005994787141823,-0.009485714285714264,2.48,-0.0669,0.1663,-0.026217998244074003,-0.023775791274593797,0.84,-0.12869999999999998,0.1082,-0.13551407035175878,-0.0028359477124182964
10,10,80,0.7,-inf,full_pre_cutoff 跑输 ETF -13.55pp 超过容忍带 -5.0pp,8.83,-0.0398,0.3513,-0.020005994787141823,-0.009485714285714264,2.48,-0.0669,0.1663,-0.026217998244074003,-0.023775791274593797,0.84,-0.12869999999999998,0.1082,-0.13551407035175878,-0.0028359477124182964
10,10,80,0.3,-inf,recent_6m 跑输 ETF -5.22pp 超过容忍带 -5.0pp,10.17,-0.0271,0.2753,-0.05220599478714183,-0.022185714285714267,3.2,-0.0379,0.1215,-0.0704179982440738,-0.052775791274593795,0.21,-0.13140000000000002,0.0278,-0.3066140703517588,-0.00013594771241826065
10,10,50,0.7,-inf,full_pre_cutoff 跑输 ETF -12.01pp 超过容忍带 -5.0pp,8.64,-0.0398,0.34369999999999995,-0.023205994787141693,-0.009485714285714264,2.44,-0.0669,0.1635,-0.028917998244073928,-0.023775791274593797,0.89,-0.13,0.1151,-0.12011407035175892,-0.001535947712418273
10,10,50,0.5,-inf,full_pre_cutoff 跑输 ETF -16.11pp 超过容忍带 -5.0pp,9.18,-0.0334,0.30670000000000003,-0.03880599478714175,-0.015885714285714267,2.88,-0.0501,0.1442,-0.04801799824407382,-0.0405757912745938,0.75,-0.12789999999999999,0.0965,-0.16111407035175884,-0.0036359477124182915
10,10,50,0.3,-inf,recent_6m 跑输 ETF -5.74pp 超过容忍带 -5.0pp,9.73,-0.027000000000000003,0.2631,-0.0574059947871417,-0.022285714285714263,3.06,-0.0379,0.1161,-0.07581799824407387,-0.052775791274593795,0.59,-0.13269999999999998,0.0781,-0.2009140703517589,0.0011640522875817072
10,10,30,0.7,-inf,full_pre_cutoff 跑输 ETF -11.16pp 超过容忍带 -5.0pp,9.72,-0.0346,0.3369,-0.02600599478714183,-0.014685714285714267,2.41,-0.0669,0.1612,-0.031217998244073897,-0.023775791274593797,0.92,-0.13,0.1189,-0.11161407035175874,-0.001535947712418273
10,10,30,0.5,-inf,recent_1y 跑输 ETF -5.18pp 超过容忍带 -5.0pp,10.85,-0.027200000000000002,0.2957,-0.04350599478714168,-0.022085714285714264,2.8,-0.0501,0.14029999999999998,-0.05181799824407385,-0.0405757912745938,0.79,-0.12789999999999999,0.10060000000000001,-0.15221407035175893,-0.0036359477124182915
10,10,30,0.3,-inf,recent_6m 跑输 ETF -6.39pp 超过容忍带 -5.0pp,11.02,-0.0225,0.2483,-0.06390599478714165,-0.026785714285714267,2.96,-0.0379,0.1121,-0.07971799824407388,-0.052775791274593795,0.63,-0.1326,0.08380000000000001,-0.1888140703517589,0.0010640522875817182
10,7,80,0.7,-inf,full_pre_cutoff 跑输 ETF -13.55pp 超过容忍带 -5.0pp,8.83,-0.0398,0.3513,-0.020005994787141823,-0.009485714285714264,2.48,-0.0669,0.1663,-0.026217998244074003,-0.023775791274593797,0.84,-0.12869999999999998,0.1082,-0.13551407035175878,-0.0028359477124182964
10,7,80,0.5,-inf,full_pre_cutoff 跑输 ETF -22.60pp 超过容忍带 -5.0pp,9.47,-0.0334,0.3165,-0.03460599478714177,-0.015885714285714267,2.95,-0.0501,0.1478,-0.044517998244073986,-0.0405757912745938,0.52,-0.1266,0.0664,-0.2260140703517588,-0.004935947712418287
10,7,80,0.3,-inf,recent_6m 跑输 ETF -5.22pp 超过容忍带 -5.0pp,10.17,-0.0271,0.2753,-0.05220599478714183,-0.022185714285714267,3.2,-0.0379,0.1215,-0.0704179982440738,-0.052775791274593795,0.21,-0.13140000000000002,0.0278,-0.3066140703517588,-0.00013594771241826065
10,7,50,0.7,-inf,full_pre_cutoff 跑输 ETF -12.01pp 超过容忍带 -5.0pp,8.64,-0.0398,0.34369999999999995,-0.023205994787141693,-0.009485714285714264,2.44,-0.0669,0.1635,-0.028917998244073928,-0.023775791274593797,0.89,-0.13,0.1151,-0.12011407035175892,-0.001535947712418273
10,7,50,0.5,-inf,full_pre_cutoff 跑输 ETF -16.11pp 超过容忍带 -5.0pp,9.18,-0.0334,0.30670000000000003,-0.03880599478714175,-0.015885714285714267,2.88,-0.0501,0.1442,-0.04801799824407382,-0.0405757912745938,0.75,-0.12789999999999999,0.0965,-0.16111407035175884,-0.0036359477124182915
10,7,50,0.3,-inf,recent_6m 跑输 ETF -5.74pp 超过容忍带 -5.0pp,9.73,-0.027000000000000003,0.2631,-0.0574059947871417,-0.022285714285714263,3.06,-0.0379,0.1161,-0.07581799824407387,-0.052775791274593795,0.59,-0.13269999999999998,0.0781,-0.2009140703517589,0.0011640522875817072
10,7,30,0.7,-inf,full_pre_cutoff 跑输 ETF -11.16pp 超过容忍带 -5.0pp,9.72,-0.0346,0.3369,-0.02600599478714183,-0.014685714285714267,2.41,-0.0669,0.1612,-0.031217998244073897,-0.023775791274593797,0.92,-0.13,0.1189,-0.11161407035175874,-0.001535947712418273
10,7,30,0.5,-inf,recent_1y 跑输 ETF -5.18pp 超过容忍带 -5.0pp,10.85,-0.027200000000000002,0.2957,-0.04350599478714168,-0.022085714285714264,2.8,-0.0501,0.14029999999999998,-0.05181799824407385,-0.0405757912745938,0.79,-0.12789999999999999,0.10060000000000001,-0.15221407035175893,-0.0036359477124182915
10,7,30,0.3,-inf,recent_6m 跑输 ETF -6.39pp 超过容忍带 -5.0pp,11.02,-0.0225,0.2483,-0.06390599478714165,-0.026785714285714267,2.96,-0.0379,0.1121,-0.07971799824407388,-0.052775791274593795,0.63,-0.1326,0.08380000000000001,-0.1888140703517589,0.0010640522875817182
10,5,80,0.7,-inf,full_pre_cutoff 跑输 ETF -13.10pp 超过容忍带 -5.0pp,8.83,-0.0398,0.3513,-0.020005994787141823,-0.009485714285714264,2.54,-0.0659,0.16760000000000003,-0.024817998244073936,-0.024775791274593797,0.86,-0.1277,0.11019999999999999,-0.13101407035175883,-0.0038359477124182695
10,5,80,0.5,-inf,full_pre_cutoff 跑输 ETF -21.94pp 超过容忍带 -5.0pp,9.47,-0.0334,0.3165,-0.03460599478714177,-0.015885714285714267,3.1,-0.0484,0.14980000000000002,-0.042517998244073985,-0.0422757912745938,0.56,-0.125,0.0695,-0.21941407035175886,-0.006535947712418277
10,5,80,0.3,-inf,recent_6m 跑输 ETF -5.22pp 超过容忍带 -5.0pp,10.17,-0.0271,0.2753,-0.05220599478714183,-0.022185714285714267,3.5,-0.0355,0.1243,-0.06761799824407388,-0.0551757912745938,0.25,-0.1292,0.0323,-0.29731407035175894,-0.002335947712418268
10,5,50,0.7,-inf,full_pre_cutoff 跑输 ETF -11.52pp 超过容忍带 -5.0pp,8.64,-0.0398,0.34369999999999995,-0.023205994787141693,-0.009485714285714264,2.5,-0.0659,0.1648,-0.027717998244073838,-0.024775791274593797,0.91,-0.129,0.1173,-0.11521407035175879,-0.002535947712418274
10,5,50,0.5,-inf,full_pre_cutoff 跑输 ETF -15.36pp 超过容忍带 -5.0pp,9.18,-0.0334,0.30670000000000003,-0.03880599478714175,-0.015885714285714267,3.02,-0.0484,0.1463,-0.04601799824407382,-0.0422757912745938,0.79,-0.1263,0.0999,-0.15361407035175878,-0.005235947712418282
10,5,50,0.3,-inf,recent_6m 跑输 ETF -5.74pp 超过容忍带 -5.0pp,9.73,-0.027000000000000003,0.2631,-0.0574059947871417,-0.022285714285714263,3.35,-0.0355,0.1189,-0.07301799824407396,-0.0551757912745938,0.64,-0.1305,0.083,-0.19031407035175874,-0.0010359477124182725
10,5,30,0.7,-inf,full_pre_cutoff 跑输 ETF -10.66pp 超过容忍带 -5.0pp,9.72,-0.0346,0.3369,-0.02600599478714183,-0.014685714285714267,2.46,-0.0659,0.1624,-0.030017998244073807,-0.024775791274593797,0.94,-0.12890000000000001,0.12119999999999999,-0.10661407035175885,-0.002635947712418263
10,10,80,0.5,-inf,full_pre_cutoff 跑输 ETF -22.60pp 超过容忍带 -5.0pp,9.47,-0.0334,0.3165,-0.03460599478714177,-0.015885714285714267,2.95,-0.0501,0.1478,-0.044517998244073986,-0.0405757912745938,0.52,-0.1266,0.0664,-0.2260140703517588,-0.004935947712418287
15,5,30,0.3,-inf,recent_6m 跑输 ETF -6.39pp 超过容忍带 -5.0pp,11.02,-0.0225,0.2483,-0.06390599478714165,-0.026785714285714267,3.24,-0.0355,0.115,-0.07681799824407398,-0.0551757912745938,0.42,-0.1305,0.0547,-0.25071407035175874,-0.0010359477124182725
15,10,80,0.5,-inf,full_pre_cutoff 跑输 ETF -22.60pp 超过容忍带 -5.0pp,9.47,-0.0334,0.3165,-0.03460599478714177,-0.015885714285714267,2.95,-0.0501,0.1478,-0.044517998244073986,-0.0405757912745938,0.52,-0.1266,0.0664,-0.2260140703517588,-0.004935947712418287
15,5,30,0.5,-inf,full_pre_cutoff 跑输 ETF -21.03pp 超过容忍带 -5.0pp,10.85,-0.027200000000000002,0.2957,-0.04350599478714168,-0.022085714285714264,2.95,-0.0484,0.1424,-0.04971799824407386,-0.0422757912745938,0.58,-0.1263,0.0738,-0.21031407035175875,-0.005235947712418282
15,10,80,0.3,-inf,recent_6m 跑输 ETF -5.22pp 超过容忍带 -5.0pp,10.17,-0.0271,0.2753,-0.05220599478714183,-0.022185714285714267,3.2,-0.0379,0.1215,-0.0704179982440738,-0.052775791274593795,0.21,-0.13140000000000002,0.0278,-0.3066140703517588,-0.00013594771241826065
15,10,50,0.7,-inf,full_pre_cutoff 跑输 ETF -15.07pp 超过容忍带 -5.0pp,8.64,-0.0398,0.34369999999999995,-0.023205994787141693,-0.009485714285714264,2.44,-0.0669,0.1635,-0.028917998244073928,-0.023775791274593797,0.78,-0.13,0.1013,-0.15071407035175888,-0.001535947712418273
15,10,50,0.5,-inf,full_pre_cutoff 跑输 ETF -22.11pp 超过容忍带 -5.0pp,9.18,-0.0334,0.30670000000000003,-0.03880599478714175,-0.015885714285714267,2.88,-0.0501,0.1442,-0.04801799824407382,-0.0405757912745938,0.54,-0.12789999999999999,0.0687,-0.2211140703517589,-0.0036359477124182915
15,10,50,0.3,-inf,recent_6m 跑输 ETF -5.74pp 超过容忍带 -5.0pp,9.73,-0.027000000000000003,0.2631,-0.0574059947871417,-0.022285714285714263,3.06,-0.0379,0.1161,-0.07581799824407387,-0.052775791274593795,0.34,-0.13269999999999998,0.0451,-0.27081407035175875,0.0011640522875817072
15,10,30,0.7,-inf,full_pre_cutoff 跑输 ETF -14.86pp 超过容忍带 -5.0pp,9.72,-0.0346,0.3369,-0.02600599478714183,-0.014685714285714267,2.41,-0.0669,0.1612,-0.031217998244073897,-0.023775791274593797,0.79,-0.12990000000000002,0.10220000000000001,-0.1486140703517589,-0.001635947712418262
15,10,30,0.5,-inf,recent_1y 跑输 ETF -5.18pp 超过容忍带 -5.0pp,10.85,-0.027200000000000002,0.2957,-0.04350599478714168,-0.022085714285714264,2.8,-0.0501,0.14029999999999998,-0.05181799824407385,-0.0405757912745938,0.55,-0.1278,0.0704,-0.21741407035175886,-0.0037359477124182805
15,10,30,0.3,-inf,recent_6m 跑输 ETF -6.39pp 超过容忍带 -5.0pp,11.02,-0.0225,0.2483,-0.06390599478714165,-0.026785714285714267,2.96,-0.0379,0.1121,-0.07971799824407388,-0.052775791274593795,0.38,-0.13269999999999998,0.0501,-0.2604140703517588,0.0011640522875817072
15,7,80,0.7,-inf,full_pre_cutoff 跑输 ETF -13.55pp 超过容忍带 -5.0pp,8.83,-0.0398,0.3513,-0.020005994787141823,-0.009485714285714264,2.48,-0.0669,0.1663,-0.026217998244074003,-0.023775791274593797,0.84,-0.12869999999999998,0.1082,-0.13551407035175878,-0.0028359477124182964
15,7,80,0.5,-inf,full_pre_cutoff 跑输 ETF -22.60pp 超过容忍带 -5.0pp,9.47,-0.0334,0.3165,-0.03460599478714177,-0.015885714285714267,2.95,-0.0501,0.1478,-0.044517998244073986,-0.0405757912745938,0.52,-0.1266,0.0664,-0.2260140703517588,-0.004935947712418287
15,7,80,0.3,-inf,recent_6m 跑输 ETF -5.22pp 超过容忍带 -5.0pp,10.17,-0.0271,0.2753,-0.05220599478714183,-0.022185714285714267,3.2,-0.0379,0.1215,-0.0704179982440738,-0.052775791274593795,0.21,-0.13140000000000002,0.0278,-0.3066140703517588,-0.00013594771241826065
15,7,50,0.7,-inf,full_pre_cutoff 跑输 ETF -15.07pp 超过容忍带 -5.0pp,8.64,-0.0398,0.34369999999999995,-0.023205994787141693,-0.009485714285714264,2.44,-0.0669,0.1635,-0.028917998244073928,-0.023775791274593797,0.78,-0.13,0.1013,-0.15071407035175888,-0.001535947712418273
15,7,50,0.5,-inf,full_pre_cutoff 跑输 ETF -22.11pp 超过容忍带 -5.0pp,9.18,-0.0334,0.30670000000000003,-0.03880599478714175,-0.015885714285714267,2.88,-0.0501,0.1442,-0.04801799824407382,-0.0405757912745938,0.54,-0.12789999999999999,0.0687,-0.2211140703517589,-0.0036359477124182915
15,7,50,0.3,-inf,recent_6m 跑输 ETF -5.74pp 超过容忍带 -5.0pp,9.73,-0.027000000000000003,0.2631,-0.0574059947871417,-0.022285714285714263,3.06,-0.0379,0.1161,-0.07581799824407387,-0.052775791274593795,0.34,-0.13269999999999998,0.0451,-0.27081407035175875,0.0011640522875817072
15,7,30,0.7,-inf,full_pre_cutoff 跑输 ETF -14.86pp 超过容忍带 -5.0pp,9.72,-0.0346,0.3369,-0.02600599478714183,-0.014685714285714267,2.41,-0.0669,0.1612,-0.031217998244073897,-0.023775791274593797,0.79,-0.12990000000000002,0.10220000000000001,-0.1486140703517589,-0.001635947712418262
15,7,30,0.5,-inf,recent_1y 跑输 ETF -5.18pp 超过容忍带 -5.0pp,10.85,-0.027200000000000002,0.2957,-0.04350599478714168,-0.022085714285714264,2.8,-0.0501,0.14029999999999998,-0.05181799824407385,-0.0405757912745938,0.55,-0.1278,0.0704,-0.21741407035175886,-0.0037359477124182805
15,7,30,0.3,-inf,recent_6m 跑输 ETF -6.39pp 超过容忍带 -5.0pp,11.02,-0.0225,0.2483,-0.06390599478714165,-0.026785714285714267,2.96,-0.0379,0.1121,-0.07971799824407388,-0.052775791274593795,0.38,-0.13269999999999998,0.0501,-0.2604140703517588,0.0011640522875817072
15,5,80,0.7,-inf,full_pre_cutoff 跑输 ETF -13.10pp 超过容忍带 -5.0pp,8.83,-0.0398,0.3513,-0.020005994787141823,-0.009485714285714264,2.54,-0.0659,0.16760000000000003,-0.024817998244073936,-0.024775791274593797,0.86,-0.1277,0.11019999999999999,-0.13101407035175883,-0.0038359477124182695
15,5,80,0.5,-inf,full_pre_cutoff 跑输 ETF -21.94pp 超过容忍带 -5.0pp,9.47,-0.0334,0.3165,-0.03460599478714177,-0.015885714285714267,3.1,-0.0484,0.14980000000000002,-0.042517998244073985,-0.0422757912745938,0.56,-0.125,0.0695,-0.21941407035175886,-0.006535947712418277
15,5,80,0.3,-inf,recent_6m 跑输 ETF -5.22pp 超过容忍带 -5.0pp,10.17,-0.0271,0.2753,-0.05220599478714183,-0.022185714285714267,3.5,-0.0355,0.1243,-0.06761799824407388,-0.0551757912745938,0.25,-0.1292,0.0323,-0.29731407035175894,-0.002335947712418268
15,5,50,0.7,-inf,full_pre_cutoff 跑输 ETF -14.62pp 超过容忍带 -5.0pp,8.64,-0.0398,0.34369999999999995,-0.023205994787141693,-0.009485714285714264,2.5,-0.0659,0.1648,-0.027717998244073838,-0.024775791274593797,0.8,-0.129,0.1033,-0.14621407035175893,-0.002535947712418274
15,5,50,0.5,-inf,full_pre_cutoff 跑输 ETF -21.43pp 超过容忍带 -5.0pp,9.18,-0.0334,0.30670000000000003,-0.03880599478714175,-0.015885714285714267,3.02,-0.0484,0.1463,-0.04601799824407382,-0.0422757912745938,0.57,-0.1264,0.0719,-0.21431407035175876,-0.005135947712418265
15,5,50,0.3,-inf,recent_6m 跑输 ETF -5.74pp 超过容忍带 -5.0pp,9.73,-0.027000000000000003,0.2631,-0.0574059947871417,-0.022285714285714263,3.35,-0.0355,0.1189,-0.07301799824407396,-0.0551757912745938,0.38,-0.1305,0.0499,-0.26091407035175873,-0.0010359477124182725
15,5,30,0.7,-inf,full_pre_cutoff 跑输 ETF -14.41pp 超过容忍带 -5.0pp,9.72,-0.0346,0.3369,-0.02600599478714183,-0.014685714285714267,2.46,-0.0659,0.1624,-0.030017998244073807,-0.024775791274593797,0.81,-0.12890000000000001,0.1043,-0.14411407035175894,-0.002635947712418263
25,10,80,0.7,-inf,full_pre_cutoff 跑输 ETF -13.88pp 超过容忍带 -5.0pp,8.83,-0.0398,0.3513,-0.020005994787141823,-0.009485714285714264,2.34,-0.0698,0.163,-0.029417998244073873,-0.020875791274593797,0.81,-0.13140000000000002,0.1066,-0.13881407035175886,-0.00013594771241826065
